TASK,PAYOUTS_High,PAYOUTS_Middle,PAYOUTS_Low,LEFT_High,LEFT_Middle,LEFT_Low,RIGHT_High,RIGHT_Middle,RIGHT_Low,UID
1,$100,$50,$20,0.1,0.7,0.2,0,1,0,Q_1
2,$100,$50,$20,0.3,0.1,0.6,0,1,0,Q_2
3,$100,$50,$20,0.1,0.7,0.2,0.3,0.1,0.6,Q_3
4,$100,$50,$20,0.1,0,0.9,0,0.3,0.7,Q_4
5,$100,$50,$20,0.7,0.3,0,0.8,0,0.2,Q_5
6,$100,$50,$20,0.05,0.55,0.4,0.15,0.25,0.6,Q_6
7,$100,$50,$20,0.2,0.75,0.05,0.4,0.15,0.45,Q_7
8,$100,$50,$20,0.6,0.1,0.3,0.5,0.4,0.1,Q_8
9,$100,$50,$20,0,1,0,0.1,0.8,0.1,Q_9
10,$100,$50,$20,0,1,0,0.5,0,0.5,Q_10
11,$100,$50,$20,0.5,0,0.5,0.1,0.8,0.1,Q_11
12,$100,$50,$20,0.1,0,0.9,0,0.2,0.8,Q_12
13,$100,$50,$20,0.9,0,0.1,0.8,0.2,0,Q_13
14,$100,$50,$20,0.25,0.15,0.6,0.05,0.55,0.4,Q_14
15,$100,$50,$20,0.35,0.45,0.2,0.5,0.15,0.35,Q_15
16,$100,$50,$20,0.65,0.3,0.05,0.75,0.1,0.15,Q_16
17,$100,$50,$20,0.15,0.75,0.1,0,1,0,Q_17
18,$100,$50,$20,0,1,0,0.6,0,0.4,Q_18
19,$100,$50,$20,0.6,0,0.4,0.15,0.75,0.1,Q_19
20,$100,$50,$20,0,0.25,0.75,0.15,0,0.85,Q_20
21,$100,$50,$20,0.75,0.25,0,0.9,0,0.1,Q_21
22,$100,$50,$20,0.35,0.15,0.5,0.05,0.65,0.3,Q_22
23,$100,$50,$20,0.25,0.05,0.7,0.1,0.3,0.6,Q_23
24,$100,$50,$20,0.4,0.55,0.05,0.55,0.3,0.15,Q_24
25,$100,$50,$20,0,1,0,0.25,0.65,0.1,Q_25
26,$100,$50,$20,0.5,0.3,0.2,0,1,0,Q_26
27,$100,$50,$20,0.5,0.3,0.2,0.25,0.65,0.1,Q_27
28,$100,$50,$20,0,0.35,0.65,0.25,0,0.75,Q_28
29,$100,$50,$20,0.65,0.35,0,0.9,0,0.1,Q_29
30,$100,$50,$20,0.55,0.05,0.4,0.05,0.75,0.2,Q_30
31,$100,$50,$20,0.35,0.15,0.5,0.1,0.5,0.4,Q_31
32,$100,$50,$20,0.5,0.45,0.05,0.75,0.1,0.15,Q_32
33,$100,$50,$20,0,1,0,0.4,0.5,0.1,Q_33
34,$100,$50,$20,0,1,0,0.8,0,0.2,Q_34
35,$100,$50,$20,0.8,0,0.2,0.4,0.5,0.1,Q_35
36,$100,$50,$20,0,0.25,0.75,0.2,0,0.8,Q_36
37,$100,$50,$20,0.9,0,0.1,0.5,0.5,0,Q_37
38,$100,$50,$20,0.45,0.25,0.3,0.05,0.75,0.2,Q_38
39,$100,$50,$20,0.1,0.4,0.5,0.3,0.15,0.55,Q_39
40,$100,$50,$20,0.65,0.2,0.15,0.25,0.7,0.05,Q_40
41,$250,$100,$50,0,1,0,0.1,0.8,0.1,Q_41
42,$250,$100,$50,0.5,0,0.5,0,1,0,Q_42
43,$250,$100,$50,0.5,0,0.5,0.1,0.8,0.1,Q_43
44,$250,$100,$50,0.1,0,0.9,0,0.2,0.8,Q_44
45,$250,$100,$50,0.8,0.2,0,0.9,0,0.1,Q_45
46,$250,$100,$50,0.05,0.55,0.4,0.25,0.15,0.6,Q_46
47,$250,$100,$50,0.5,0.15,0.35,0.35,0.45,0.2,Q_47
48,$250,$100,$50,0.65,0.3,0.05,0.75,0.1,0.15,Q_48
49,$100,$75,$20,0.25,0.65,0.1,0,1,0,Q_49
50,$100,$75,$20,0.5,0.3,0.2,0,1,0,Q_50
51,$100,$75,$20,0.5,0.3,0.2,0.25,0.65,0.1,Q_51
52,$100,$75,$20,0,0.35,0.65,0.25,0,0.75,Q_52
53,$100,$75,$20,0.65,0.35,0,0.9,0,0.1,Q_53
54,$100,$75,$20,0.05,0.75,0.2,0.55,0.05,0.4,Q_54
55,$100,$75,$20,0.1,0.5,0.4,0.35,0.15,0.5,Q_55
56,$100,$75,$20,0.75,0.1,0.15,0.5,0.45,0.05,Q_56
57,$50,$20,$10,0.4,0.5,0.1,0,1,0,Q_57
58,$50,$20,$10,0.8,0,0.2,0,1,0,Q_58
59,$50,$20,$10,0.8,0,0.2,0.4,0.5,0.1,Q_59
60,$50,$20,$10,0,0.25,0.75,0.2,0,0.8,Q_60
61,$50,$20,$10,0.5,0.5,0,0.9,0,0.1,Q_61
62,$50,$20,$10,0.05,0.75,0.2,0.45,0.25,0.3,Q_62
63,$50,$20,$10,0.3,0.15,0.55,0.1,0.4,0.5,Q_63
64,$50,$20,$10,0.25,0.7,0.05,0.65,0.2,0.15,Q_64
65,$100,$50,$20,0.1,0.3,0.6,0.25,0.25,0.5,Q_65
66,$250,$100,$50,0,0.3,0.7,0.1,0.3,0.6,Q_66
67,$100,$75,$20,0.4,0.1,0.5,0.2,0,0.8,Q_67
68,$50,$20,$10,0.8,0.2,0,0.6,0.3,0.1,Q_68
